         1532744 function calls (1510445 primitive calls) in 21.577 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45904   19.509    0.000   19.514    0.000 plot_gtex.py:21(linear_search)
    29268    0.197    0.000    0.197    0.000 {method 'split' of 'str' objects}
        1    0.128    0.128   21.029   21.029 plot_gtex.py:45(main)
        2    0.068    0.034    0.068    0.034 {built-in method matplotlib._png.write_png}
    19616    0.060    0.000    0.060    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      264    0.048    0.000    0.048    0.000 {built-in method marshal.loads}
    21784    0.047    0.000    0.047    0.000 {built-in method numpy.array}
    39/38    0.046    0.001    0.049    0.001 {built-in method _imp.create_dynamic}
        1    0.042    0.042   21.578   21.578 plot_gtex.py:1(<module>)
        1    0.039    0.039    0.039    0.039 {method 'dot' of 'numpy.ndarray' objects}
      369    0.032    0.000    0.032    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
 1071/980    0.028    0.000    0.073    0.000 {built-in method builtins.__build_class__}
     2854    0.028    0.000    0.047    0.000 inspect.py:613(cleandoc)
    16759    0.026    0.000    0.091    0.000 fromnumeric.py:69(_wrapreduction)
      576    0.020    0.000    0.059    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5011    0.020    0.000    0.020    0.000 {built-in method numpy.dot}
      993    0.020    0.000    0.181    0.000 lines.py:751(draw)
      264    0.017    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    66144    0.016    0.000    0.024    0.000 {built-in method builtins.isinstance}
    24157    0.016    0.000    0.053    0.000 __init__.py:810(__getitem__)
22606/16997    0.016    0.000    0.031    0.000 artist.py:219(stale)
      436    0.015    0.000    0.195    0.000 _base.py:2425(handle_single_axis)
      334    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1293    0.015    0.000    0.015    0.000 {built-in method posix.stat}
     1833    0.014    0.000    0.015    0.000 transforms.py:164(set_children)
127684/126740    0.013    0.000    0.013    0.000 {built-in method builtins.len}
      123    0.013    0.000    0.013    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
3669/2130    0.012    0.000    0.040    0.000 transforms.py:2395(get_affine)
    25521    0.011    0.000    0.014    0.000 {built-in method builtins.getattr}
      198    0.011    0.000    0.018    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    90181    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
      415    0.011    0.000    0.081    0.000 lines.py:273(__init__)
      655    0.010    0.000    0.048    0.000 transforms.py:708(intersection)
      875    0.010    0.000    0.024    0.000 numeric.py:2508(within_tol)
     1334    0.010    0.000    0.014    0.000 transforms.py:2791(nonsingular)
     5517    0.009    0.000    0.042    0.000 transforms.py:1025(get_points)
    11519    0.009    0.000    0.009    0.000 transforms.py:82(__init__)
      597    0.009    0.000    0.097    0.000 text.py:270(_get_layout)
     2533    0.009    0.000    0.025    0.000 transforms.py:726(__init__)
      397    0.009    0.000    0.036    0.000 lines.py:667(recache)
  447/180    0.009    0.000    0.022    0.000 sre_parse.py:475(_parse)
    29282    0.008    0.000    0.008    0.000 {method 'rstrip' of 'str' objects}
     5348    0.008    0.000    0.017    0.000 transforms.py:1819(__init__)
    23544    0.008    0.000    0.008    0.000 {built-in method builtins.min}
    26801    0.007    0.000    0.007    0.000 artist.py:1020(sticky_edges)
     4290    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7562    0.007    0.000    0.012    0.000 transforms.py:1683(__init__)
    16759    0.007    0.000    0.007    0.000 fromnumeric.py:70(<dictcomp>)
        2    0.007    0.003    0.030    0.015 font_manager.py:1240(_findfont_cached)
4165/2024    0.007    0.000    0.008    0.000 transforms.py:137(_invalidate_internal)
      417    0.007    0.000    0.009    0.000 __init__.py:1673(normalize_kwargs)
 1768/878    0.007    0.000    0.017    0.000 units.py:142(get_converter)
      218    0.006    0.000    0.013    0.000 _base.py:2415(<listcomp>)
    12716    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
       32    0.006    0.000    0.006    0.000 {built-in method io.open}
     6147    0.006    0.000    0.037    0.000 fromnumeric.py:2512(amin)
      249    0.006    0.000    0.069    0.000 text.py:655(draw)
      638    0.005    0.000    0.014    0.000 inspect.py:2117(_signature_from_function)
     4505    0.005    0.000    0.050    0.000 re.py:271(_compile)
      630    0.005    0.000    0.010    0.000 artist.py:74(__init__)
      906    0.005    0.000    0.015    0.000 backend_bases.py:718(__init__)
      549    0.005    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
   1398/3    0.005    0.000    0.438    0.146 artist.py:30(draw_wrapper)
     6153    0.005    0.000    0.032    0.000 fromnumeric.py:2397(amax)
      264    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
     1390    0.005    0.000    0.006    0.000 font_manager.py:1119(score_stretch)
     1668    0.005    0.000    0.008    0.000 font_manager.py:660(__hash__)
    25919    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      123    0.005    0.000    0.005    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    24468    0.005    0.000    0.005    0.000 {function RcParams.__getitem__ at 0x11520f1e0}
      474    0.005    0.000    0.009    0.000 transforms.py:671(translated)
      436    0.005    0.000    0.008    0.000 _base.py:2434(<listcomp>)
  900/173    0.005    0.000    0.011    0.000 sre_compile.py:71(_compile)
     3297    0.005    0.000    0.023    0.000 colors.py:149(to_rgba)
     1473    0.005    0.000    0.051    0.000 transforms.py:1377(transform)
      875    0.004    0.000    0.047    0.000 numeric.py:2431(isclose)
    30736    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
      971    0.004    0.000    0.023    0.000 artist.py:942(update)
        4    0.004    0.001    0.007    0.002 __init__.py:444(open_file_cm)
     8373    0.004    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
     3779    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x109c40778}
     1764    0.004    0.000    0.008    0.000 transforms.py:1776(transform_affine)
     1390    0.004    0.000    0.010    0.000 font_manager.py:1058(score_family)
      588    0.004    0.000    0.019    0.000 inspect.py:1089(getfullargspec)
      218    0.004    0.000    0.004    0.000 _base.py:2416(<listcomp>)
     1756    0.004    0.000    0.009    0.000 numeric.py:2656(seterr)
     4056    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
     1839    0.004    0.000    0.007    0.000 codecs.py:319(decode)
      504    0.004    0.000    0.126    0.000 text.py:852(get_window_extent)
    22835    0.004    0.000    0.004    0.000 artist.py:774(get_animated)
    12678    0.004    0.000    0.004    0.000 transforms.py:946(get_points)
     1839    0.004    0.000    0.004    0.000 {built-in method _codecs.utf_8_decode}
      475    0.004    0.000    0.063    0.000 transforms.py:697(union)
    27014    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     2558    0.004    0.000    0.020    0.000 transforms.py:347(xmin)
     4766    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
      363    0.003    0.000    0.008    0.000 transforms.py:1914(rotate)
     3788    0.003    0.000    0.013    0.000 colors.py:115(_is_nth_color)
     3706    0.003    0.000    0.003    0.000 {built-in method builtins.max}
7194/7190    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
       27    0.003    0.000    0.018    0.001 __init__.py:908(_rc_params_in_file)
      218    0.003    0.000    0.003    0.000 _base.py:2417(<listcomp>)
     1795    0.003    0.000    0.003    0.000 {built-in method matplotlib._path.affine_transform}
    298/1    0.003    0.000   21.578   21.578 {built-in method builtins.exec}
     1756    0.003    0.000    0.003    0.000 numeric.py:2758(geterr)
       12    0.003    0.000    0.033    0.003 artist.py:1277(_get_setters_and_targets)
    23411    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     2558    0.003    0.000    0.016    0.000 transforms.py:357(xmax)
     7390    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
      876    0.003    0.000    0.009    0.000 _base.py:3143(_validate_converted_limits)
      218    0.003    0.000    0.222    0.001 _base.py:2388(autoscale_view)
     1953    0.003    0.000    0.005    0.000 inspect.py:2467(__init__)
     2579    0.003    0.000    0.016    0.000 transforms.py:352(ymin)
     2585    0.003    0.000    0.016    0.000 transforms.py:362(ymax)
      397    0.003    0.000    0.003    0.000 stride_tricks.py:185(_broadcast_shape)
      428    0.003    0.000    0.003    0.000 {built-in method matplotlib._path.update_path_extents}
      376    0.003    0.000    0.003    0.000 {built-in method zlib.crc32}
     6429    0.003    0.000    0.021    0.000 numeric.py:469(asarray)
       92    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
     2024    0.003    0.000    0.011    0.000 transforms.py:126(invalidate)
    12650    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
      554    0.003    0.000    0.016    0.000 markers.py:292(set_marker)
      219    0.003    0.000    0.023    0.000 _base.py:3161(set_xlim)
      217    0.003    0.000    0.378    0.002 _axes.py:1433(plot)
     1313    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
     3793    0.003    0.000    0.012    0.000 re.py:170(match)
      966    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
       39    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
      264    0.003    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1986    0.003    0.000    0.005    0.000 __init__.py:2012(_setattr_cm)
      219    0.003    0.000    0.022    0.000 _base.py:3542(set_ylim)
      217    0.003    0.000    0.059    0.000 _base.py:363(_plot_args)
      369    0.003    0.000    0.041    0.000 font_manager.py:1179(findfont)
     2640    0.003    0.000    0.020    0.000 fromnumeric.py:2171(all)
     6037    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     8373    0.003    0.000    0.007    0.000 abc.py:137(__instancecheck__)
 1086/360    0.003    0.000    0.003    0.000 sre_parse.py:174(getwidth)
     1390    0.003    0.000    0.004    0.000 font_manager.py:1081(<listcomp>)
     4843    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
    12412    0.002    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       24    0.002    0.000    0.075    0.003 axis.py:1074(_update_ticks)
      681    0.002    0.000    0.004    0.000 inspect.py:2750(__init__)
        3    0.002    0.001    0.003    0.001 backend_agg.py:80(__init__)
     2552    0.002    0.000    0.014    0.000 artist.py:49(_stale_axes_callback)
3837/3012    0.002    0.000    0.003    0.000 transforms.py:2357(<lambda>)
        2    0.002    0.001    0.006    0.003 decoder.py:343(raw_decode)
     1756    0.002    0.000    0.008    0.000 __init__.py:1651(safe_first_element)
     1985    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      319    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      503    0.002    0.000    0.002    0.000 {built-in method numpy.concatenate}
     2636    0.002    0.000    0.043    0.000 inspect.py:594(getdoc)
      480    0.002    0.000    0.002    0.000 transforms.py:2867(_interval_contains_close)
      401    0.002    0.000    0.006    0.000 shape_base.py:599(column_stack)
      363    0.002    0.000    0.010    0.000 transforms.py:1930(rotate_deg)
      597    0.002    0.000    0.010    0.000 text.py:823(get_prop_tup)
     1174    0.002    0.000    0.003    0.000 contextlib.py:81(__init__)
     2884    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      641    0.002    0.000    0.017    0.000 inspect.py:2198(_signature_from_callable)
      917    0.002    0.000    0.004    0.000 __init__.py:968(get_siblings)
    12294    0.002    0.000    0.002    0.000 artist.py:194(axes)
    10723    0.002    0.000    0.004    0.000 mathtext.py:2839(<genexpr>)
      231    0.002    0.000    0.047    0.000 artist.py:709(set_clip_path)
     1732    0.002    0.000    0.008    0.000 {built-in method builtins.any}
      397    0.002    0.000    0.007    0.000 stride_tricks.py:208(broadcast_arrays)
       32    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     1819    0.002    0.000    0.017    0.000 fromnumeric.py:2083(any)
     3269    0.002    0.000    0.003    0.000 __init__.py:2151(_check_in_list)
 1683/628    0.002    0.000    0.350    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      123    0.002    0.000    0.043    0.000 backend_agg.py:164(draw_text)
     1835    0.002    0.000    0.007    0.000 __init__.py:1382(_to_unmasked_float_array)
     1791    0.002    0.000    0.019    0.000 __init__.py:774(__setitem__)
     5178    0.002    0.000    0.012    0.000 numeric.py:541(asanyarray)
      415    0.002    0.000    0.005    0.000 lines.py:1145(set_linestyle)
     1473    0.002    0.000    0.036    0.000 transforms.py:2371(transform_affine)
        2    0.002    0.001    0.080    0.040 _base.py:4302(get_tightbbox)
      314    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.002    0.002    0.386    0.386 _axes.py:3775(bxp)
  452/451    0.002    0.000    0.007    0.000 transforms.py:1691(__eq__)
     1101    0.002    0.000    0.005    0.000 text.py:809(get_unitless_position)
      878    0.002    0.000    0.005    0.000 {method 'all' of 'numpy.generic' objects}
     3057    0.002    0.000    0.011    0.000 figure.py:49(_stale_figure_callback)
    329/3    0.002    0.000    0.508    0.169 <frozen importlib._bootstrap>:978(_find_and_load)
     1174    0.002    0.000    0.005    0.000 contextlib.py:237(helper)
     1784    0.002    0.000    0.003    0.000 transforms.py:377(intervalx)
     3289    0.002    0.000    0.002    0.000 artist.py:338(pchanged)
      834    0.002    0.000    0.007    0.000 transforms.py:2299(__init__)
     2865    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     2884    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      217    0.002    0.000    0.088    0.000 _base.py:1894(add_line)
     6575    0.002    0.000    0.002    0.000 transforms.py:1857(get_matrix)
      528    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     3061    0.002    0.000    0.006    0.000 pyplot.py:578(_auto_draw_if_interactive)
     2525    0.002    0.000    0.008    0.000 artist.py:170(convert_xunits)
       32    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
     1690    0.002    0.000    0.004    0.000 transforms.py:2375(transform_non_affine)
      376    0.002    0.000    0.004    0.000 colors.py:185(_to_rgba_no_colorcycle)
      334    0.002    0.000    0.025    0.000 gzip.py:438(read)
      227    0.002    0.000    0.002    0.000 _base.py:4248(get_children)
      221    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
      982    0.002    0.000    0.002    0.000 markers.py:258(__bool__)
     1334    0.002    0.000    0.002    0.000 getlimits.py:365(__new__)
      240    0.002    0.000    0.024    0.000 patches.py:728(_update_patch_transform)
      648    0.002    0.000    0.007    0.000 path.py:96(__init__)
     1390    0.002    0.000    0.005    0.000 font_manager.py:1137(score_weight)
      765    0.002    0.000    0.007    0.000 transforms.py:2710(_revalidate)
      609    0.002    0.000    0.024    0.000 transforms.py:1470(transform_point)
      443    0.002    0.000    0.003    0.000 __init__.py:163(connect)
     1853    0.002    0.000    0.002    0.000 transforms.py:386(intervaly)
      338    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      428    0.002    0.000    0.006    0.000 transforms.py:824(update_from_path)
       66    0.002    0.000    0.072    0.001 axis.py:56(__init__)
     1041    0.002    0.000    0.009    0.000 transforms.py:1748(frozen)
      606    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2874    0.002    0.000    0.003    0.000 function_base.py:258(iterable)
     1420    0.002    0.000    0.006    0.000 units.py:122(is_numlike)
       64    0.002    0.000    0.009    0.000 colors.py:729(from_list)
     3687    0.002    0.000    0.018    0.000 {built-in method builtins.next}
      576    0.002    0.000    0.061    0.000 backend_agg.py:119(draw_path)
    309/3    0.002    0.000    0.508    0.169 <frozen importlib._bootstrap>:663(_load_unlocked)
      308    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      408    0.002    0.000    0.031    0.000 artist.py:1241(get_valid_values)
       24    0.002    0.000    0.037    0.002 ticker.py:2016(_raw_ticks)
     1077    0.002    0.000    0.010    0.000 markers.py:245(_recache)
     1174    0.002    0.000    0.008    0.000 contextlib.py:116(__exit__)
      246    0.002    0.000    0.002    0.000 text.py:41(get_rotation)
        1    0.002    0.002    0.011    0.011 __init__.py:1135(boxplot_stats)
      369    0.002    0.000    0.045    0.000 backend_agg.py:241(_get_agg_font)
     2214    0.002    0.000    0.003    0.000 font_manager.py:1233(<genexpr>)
       29    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      217    0.002    0.000    0.039    0.000 _base.py:1920(_update_line_limits)
     3063    0.002    0.000    0.004    0.000 __init__.py:1342(is_interactive)
       48    0.002    0.000    0.002    0.000 ticker.py:1857(closeto)
      935    0.001    0.000    0.001    0.000 {built-in method numpy.result_type}
     2477    0.001    0.000    0.006    0.000 artist.py:182(convert_yunits)
3116/1816    0.001    0.000    0.007    0.000 {built-in method builtins.hash}
       15    0.001    0.000    0.026    0.002 artist.py:1213(get_aliases)
      648    0.001    0.000    0.003    0.000 path.py:188(_update_values)
     2319    0.001    0.000    0.005    0.000 enum.py:284(__call__)
       60    0.001    0.000    0.003    0.000 function_base.py:37(linspace)
     1627    0.001    0.000    0.002    0.000 lines.py:1282(set_xdata)
      906    0.001    0.000    0.002    0.000 artist.py:828(_set_gc_clip)
      830    0.001    0.000    0.002    0.000 lines.py:1112(_split_drawstyle_linestyle)
      900    0.001    0.000    0.009    0.000 transforms.py:2470(composite_transform_factory)
      469    0.001    0.000    0.010    0.000 transforms.py:1976(scale)
      211    0.001    0.000    0.006    0.000 font_manager.py:620(__init__)
      632    0.001    0.000    0.005    0.000 lines.py:635(axes)
     2166    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      404    0.001    0.000    0.006    0.000 axis.py:500(update_position)
      606    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     3975    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
     1665    0.001    0.000    0.002    0.000 artist.py:373(get_transform)
  399/173    0.001    0.000    0.023    0.000 sre_parse.py:417(_parse_sub)
      668    0.001    0.000    0.005    0.000 artist.py:946(_update_property)
     2181    0.001    0.000    0.008    0.000 {method 'all' of 'numpy.ndarray' objects}
      606    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      434    0.001    0.000    0.060    0.000 _base.py:154(__call__)
     2304    0.001    0.000    0.003    0.000 transforms.py:2573(get_matrix)
      334    0.001    0.000    0.026    0.000 _compression.py:66(readinto)
     1944    0.001    0.000    0.030    0.000 artist.py:1319(is_alias)
      436    0.001    0.000    0.003    0.000 _base.py:2438(<listcomp>)
      369    0.001    0.000    0.001    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
      246    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.generic' objects}
     1420    0.001    0.000    0.007    0.000 axis.py:1539(convert_units)
     3059    0.001    0.000    0.010    0.000 _methods.py:45(_all)
    324/3    0.001    0.000    0.508    0.169 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      584    0.001    0.000    0.003    0.000 gzip.py:80(read)
     1174    0.001    0.000    0.012    0.000 contextlib.py:107(__enter__)
      246    0.001    0.000    0.060    0.000 backend_agg.py:193(get_text_width_height_descent)
      217    0.001    0.000    0.044    0.000 _base.py:308(_makeline)
      240    0.001    0.000    0.001    0.000 transforms.py:413(bounds)
     1757    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
     5114    0.001    0.000    0.001    0.000 path.py:197(vertices)
     4113    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      437    0.001    0.000    0.002    0.000 _base.py:3120(get_xlim)
     3114    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1243    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      794    0.001    0.000    0.003    0.000 font_manager.py:883(_json_decode)
      469    0.001    0.000    0.003    0.000 path.py:159(_fast_from_codes_and_verts)
      122    0.001    0.000    0.002    0.000 cycler.py:349(by_key)
      173    0.001    0.000    0.042    0.000 sre_compile.py:759(compile)
      596    0.001    0.000    0.002    0.000 __init__.py:1373(is_math_text)
      114    0.001    0.000    0.104    0.001 axis.py:289(draw)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      437    0.001    0.000    0.002    0.000 _base.py:3519(get_ylim)
       30    0.001    0.000    0.004    0.000 function_base.py:3846(_quantile_ureduce_func)
      415    0.001    0.000    0.002    0.000 lines.py:1398(set_dash_capstyle)
     2446    0.001    0.000    0.001    0.000 __init__.py:1906(_str_equal)
    264/2    0.001    0.000    0.506    0.253 <frozen importlib._bootstrap_external>:722(exec_module)
      868    0.001    0.000    0.002    0.000 __init__.py:1393(_check_1d)
      443    0.001    0.000    0.001    0.000 weakref.py:44(__new__)
      217    0.001    0.000    0.010    0.000 _base.py:241(_xy_from_xy)
      906    0.001    0.000    0.016    0.000 backend_bases.py:654(new_gc)
     1078    0.001    0.000    0.042    0.000 transforms.py:280(__array__)
      217    0.001    0.000    0.016    0.000 lines.py:624(get_window_extent)
